epoch,train_loss
0,2.5328295262654623
1,2.0880594555536907
2,1.8643729662895203
3,1.7340270630518595
4,1.645819790760676
5,1.58506409684817
6,1.5327683981259663
7,1.4984435005982717
8,1.4651580882072448
9,1.4372397228082021
